PREGUNTA,RESPUESTA
¿Qué opciones de grado están habilitadas para el programa de Ingeniería Ambiental?  ,"  Las opciones de grado habilitadas para Ingeniería Ambiental, son:
Trabajo de grado  
Semillero de Investigación
Estudio Coterminal
Titulación en el Exterior
Plan de negocios
Excelencia en concursos
Programa internacional
Ingeniería Humanitaria"
¿En qué consiste la opción de grado de Trabajo de grado para el programa de Ingeniería Ambiental?   ,"  Bajo esta modalidad, podrás desarrollar un trabajo teórico o experimental en el que aplicarás los conocimientos adquiridos durante tu programa.   
Reglamento General: Capítulo II de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)  "
¿En qué consiste la opción de grado de Semillero de Investigación para el programa de Ingeniería Ambiental?   ,"  Bajo esta modalidad, podrás obtener el título profesional bajo un enfoque de aprendizaje experimental e investigativo.   
Semestralmente, los docentes del programa según la disponibilidad habilitarán cupos para ingresar al semillero de investigación, donde se les comunicará a los estudiantes sobre las principales experticias a trabajar.   
El docente está en la facultad de seleccionar a los estudiantes, según los requisitos mínimos exigidos y los cupos habilitados.    
Reglamento General: Capítulo VII de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)   "
¿En qué consiste la opción de grado de Estudio Coterminal para el programa de Ingeniería Ambiental?  ,"  Bajo esta modalidad, podrás profundizar en competencias académicas de programas de postgrados. Deberás inscribir 8 créditos de algún programa de postgrado de la ECEI, cursarlos y aprobarlos con la nota mínima determinada para dicho programa.  
Para tomar esta opción, puedes solicitar orientación con la dirección de área.    
Reglamento General: Capítulo IV de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)  "
¿En qué consiste la opción de grado de Titulación en el Exterior para el programa de Ingeniería Ambiental?  ,"  Bajo esta modalidad, podrás obtener el título profesional con alguna universidad extranjera con la cual el programa tenga convenio suscrito, cursando el último año de la carrera en dicha institución.   
Para tomar esta opción, puedes solicitar orientación con la Oficina de Relaciones Internacionales y la dirección de programa.    
Reglamento General: Capítulo V de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)  "
¿En qué consiste la opción de grado de Plan de negocios para el programa de Ingeniería Ambiental?  ,"  Bajo esta modalidad, podrás obtener el título profesional elaborando un plan de negocios.   
Para tomar esta opción, puedes solicitar orientación con el Centro de Innovación, Emprendimiento y Empresa.    
Reglamento General: Capítulo VI de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)  "
¿En qué consiste la opción de grado de Excelencia en concursos para el programa de Ingeniería Ambiental?  ,"  Bajo esta modalidad, podrás obtener el título profesional por haber tenido un muy alto desempeño en concursos reconocidos por la Universidad.   
Reglamento General: Capítulo VIII de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)  "
¿En qué consiste la opción de grado de Programa internacional para el programa de Ingeniería Ambiental?  ,"  Bajo esta modalidad, deberás inscribirte y participar en un programa de la ECEI en el cual algunos de los módulos se desarrollen en sedes internacionales de la Universidad o universidades con las que la Sergio tenga convenio. 
Para información de programas internacionales ofertados, has clic en el siguiente enlace (ENLACE). 
Reglamento General: Capítulo III de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)  "
¿En qué consiste la opción de grado de Ingeniería Humanitaria para el programa de Ingeniería Ambiental?  ,"  Bajo esta modalidad, podrás obtener tu título profesional desarrollando competencias a través del liderazgo y solución de problemáticas de comunidades vulnerables o con potencial desarrollo, generando un proceso de trabajo en equipo y co-creación.  
Para información de esta opción de grado, puedes comunicarte a través del correo ecei@usa.edu.co   
Reglamento General: Capítulo III de Resolución de Decanatura No 1121 de 2017 (Enlace: https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Resolucio%CC%81n-1221-Reglamento-Opciones-de-grado-25-09-2017.pdf?c69294&fc6c97)  "
¿Cuál es el proceso para realizar intercambio con alguna universidad en el exterior?  ,"  Inicialmente, deberás validar los convenios vigentes que tiene el programa de Ingeniería Ambiental, esto puedes hacerlo en conjunto con la Oficina de Relaciones Internacionales (ORI) y la dirección de Área, o verificarlo en el siguiente enlace: https://www.usergioarboleda.edu.co/carreras-universitarias-ingenieria/ingenieria-ambiental. Es fundamental recordar que cada convenio tiene requisitos específicos los cuales se deberán validar.   
Tras verificarse este paso, se determinarán los módulos y la coherencia entre los contenidos programáticos y el número de créditos para establecer las asignaturas que el estudiante tomará en la Universidad extranjera, la cual también deberá aprobar el intercambio.  
Una vez aprobado el intercambio por las diferentes instancias, deberás seguir los pasos de inscripción que se determinen a través de la ORI.   "
¿Cuál es el horario de atención de la dirección del programa de Ingeniería Ambiental?  ,  El horario de atención de la dirección del programa de Ingeniería Ambiental es los martes de 8:30 a.m. a 9:30 a.m. y los jueves de 2:00 p.m. a 3:00 p.m.  
¿Cuál es el prerrequisito de Cálculo diferencial en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Cálculo diferencial, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Química y laboratorio en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Química y laboratorio, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Biología y laboratorio en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Biología y laboratorio, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Cálculo integral en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Cálculo integral, es (son): Cálculo diferencial. "
¿Cuál es el prerrequisito de Física mecánica y laboratorio en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Física mecánica y laboratorio, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Bioquímica Ambiental en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Bioquímica Ambiental, es (son): Biología y laboratorio; Química y laboratorio. "
¿Cuál es el prerrequisito de Algebra lineal aplicada en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Algebra lineal aplicada, es (son): Calculo diferencial. "
¿Cuál es el prerrequisito de Modelación matemática para ingeniería en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Modelación matemática para ingeniería, es (son): Cálculo integral. "
¿Cuál es el prerrequisito de Termodinámica y ondas en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Termodinámica y ondas, es (son): Física mecánica y laboratorio. "
¿Cuál es el prerrequisito de Métodos numéricos y herramientas computacionales en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Métodos numéricos y herramientas computacionales, es (son): Modelación matemática para ingeniería. "
¿Cuál es el prerrequisito de Pensamiento Computacional en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Pensamiento Computacional, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Introducción a la ingeniería en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Introducción a la ingeniería, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Probabilidad y estadística en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Probabilidad y estadística, es (son): No tiene prerrequisito. "
"¿Cuál es el prerrequisito de Ecología, ecosistemas y biodiversidad en el programa de Ingeniería Ambiental? ","El (los) prerrequisito(s) del módulo Ecología, ecosistemas y biodiversidad, es (son): Biología y laboratorio. "
"¿Cuál es el prerrequisito de Microbiología, biotecnología y laboratorio en el programa de Ingeniería Ambiental? ","El (los) prerrequisito(s) del módulo Microbiología, biotecnología y laboratorio, es (son): Bioquímica Ambiental. "
¿Cuál es el prerrequisito de Química y calidad ambiental y laboratorio en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Química y calidad ambiental y laboratorio, es (son): Bioquímica Ambiental. "
¿Cuál es el prerrequisito de Balance de materia y energía en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Balance de materia y energía, es (son): Termodinámica y ondas. "
¿Cuál es el prerrequisito de Ciencias de la tierra y el suelo en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Ciencias de la tierra y el suelo, es (son): Microbiología, biotecnología y laboratorio. "
 ¿Cuál es el prerrequisito de Ciencias de la atmósfera en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Ciencias de la atmósfera, es (son): Métodos numéricos y herramientas computacionales. "
 ¿Cuál es el prerrequisito de Cartografía y Aplicaciones geoespaciales en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Cartografía y Aplicaciones geoespaciales, es (son): No tiene prerrequisito. "
 ¿Cuál es el prerrequisito de Fluidos e hidráulica en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Fluidos e hidráulica, es (son): Física mecánica y laboratorio. "
¿Cuál es el prerrequisito de Resolución de conflictos socioambientales en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Resolución de conflictos socioambientales, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Ordenamiento territorial en Colombia en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Ordenamiento territorial en Colombia, es (son): Cartografía y Aplicaciones geoespaciales. "
¿Cuál es el prerrequisito de Análisis ambiental de procesos unitarios en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Análisis ambiental de procesos unitarios, es (son): Balance de materia y energía. "
¿Cuál es el prerrequisito de Hidrología y gobernanza del agua en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Hidrología y gobernanza del agua, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Manejo y remediación de suelos en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Manejo y remediación de suelos, es (son): Ciencias de la tierra y el suelo. "
¿Cuál es el prerrequisito de Climate change: The science and global impact en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Climate change: The science and global impact, es (son): No tiene prerrequisito. "
" ¿Cuál es el prerrequisito de Gestión integral de residuos sólidos, tóxicos y peligrosos en el programa de Ingeniería Ambiental? ","El (los) prerrequisito(s) del módulo Gestión integral de residuos sólidos, tóxicos y peligrosos, es (son): Análisis ambiental de procesos unitarios. "
¿Cuál es el prerrequisito de Water treatment en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Water treatment, es (son): Fluidos e hidráulica, Análisis ambiental de procesos unitarios y Requisito de inglés. "
¿Cuál es el prerrequisito de Control y simulación atmosférica en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Control y simulación atmosférica, es (son): Ciencias de la atmósfera. "
¿Cuál es el prerrequisito de Hydrodynamic modeling en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Hydrodynamic modeling, es (son): Métodos numéricos y herramientas computacionales, Fluidos e hidráulica y Requisitos de Inglés. "
"¿Cuál es el prerrequisito de Evaluación, planes de manejo y monitoreo ambiental en el programa de Ingeniería Ambiental? ","El (los) prerrequisito(s) del módulo Evaluación, planes de manejo y monitoreo ambiental, es (son): Cartografía y Aplicaciones geoespaciales. "
¿Cuál es el prerrequisito de Sistemas de gestión y política ambiental en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Sistemas de gestión y política ambiental, es (son): Evaluación, planes de manejo y monitoreo ambiental. "
¿Cuál es el prerrequisito de Optativa A1 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Optativa A1, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Optativa A2 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Optativa A2, es (son): Optativa A1. "
¿Cuál es el prerrequisito de Optativa A3 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Optativa A3, es (son): Optativa A2. "
¿Cuál es el prerrequisito de Optativa B1 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Optativa B1, es (son): No tiene prerrequisito. "
 ¿Cuál es el prerrequisito de Optativa B2 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Optativa B2, es (son): Optativa B1. "
¿Cuál es el prerrequisito de Optativa B3 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Optativa B3, es (son): Optativa B2. "
¿Cuál es el prerrequisito de Electiva profesional 1 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Electiva profesional 1, es (son): 50% de créditos aprobados. "
¿Cuál es el prerrequisito de Electiva profesional 2 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Electiva profesional 2, es (son): 50% de créditos aprobados. "
¿Cuál es el prerrequisito de Electiva profesional 3 en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Electiva profesional 3, es (son): 50% de créditos aprobados. "
¿Cuál es el prerrequisito de Opción de grado en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Opción de grado, es (son): 70% de créditos aprobados. "
¿Cuál es el prerrequisito de Cátedra Rodrigo Noguera Laborde en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Cátedra Rodrigo Noguera Laborde, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Lectura y escritura académica I en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Lectura y escritura académica I, es (son): No tiene prerrequisito. "
 ¿Cuál es el prerrequisito de Lectura y escritura académica II en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Lectura y escritura académica II, es (son): Lectura y escritura académica I. "
¿Cuál es el prerrequisito de Introducción a la economía en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Introducción a la economía, es (son):  No tiene prerrequisito. "
¿Cuál es el prerrequisito de Cultura e historia de la religión en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Cultura e historia de la religión, es (son):  No tiene prerrequisito. "
¿Cuál es el prerrequisito de Electiva de humanidades en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Electiva de humanidades, es (son):  No tiene prerrequisito. "
¿Cuál es el prerrequisito de Seminario I+D+i en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Seminario I+D+i, es (son):  No tiene prerrequisito. "
 ¿Cuál es el prerrequisito de Formulación y evaluación de proyectos socioambientales en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Formulación y evaluación de proyectos socioambientales, es (son): Introducción a la economía. "
 ¿Cuál es el prerrequisito de Ética y responsabilidad social en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Ética y responsabilidad social, es (son): No tiene prerrequisito. "
¿Cuál es el prerrequisito de Electiva de libre elección en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Electiva de libre elección, es (son):  No tiene prerrequisito. "
¿Cuál es el prerrequisito de Electiva de emprendimiento en el programa de Ingeniería Ambiental? ,"El (los) prerrequisito(s) del módulo Electiva de emprendimiento, es (son):  No tiene prerrequisito. "
¿Cuál es el contacto de la dirección de área de Ingeniería y Medio Ambiente? ,  La directora del programa es la ingeniera María Clara Sánchez. El correo institucional es mariacla.sanchez@usa.edu.co 
¿Cuál es el contacto de los docentes del programa de Ingeniería Ambiental? ,"  Los docentes del programa y sus correos electrónicos son: 
Ingeniero Pedro Antonio Cárdenas B. (pedro.cardenas@usa.edu.co) 
Ingeniero Victor Augusto Lizcano S. (victor.lizcano@usa.edu.co) 
Ingeniero Diego Mauricio Rivera M. (diego.rivera@usa.edu.co) "
 ¿Cómo solicitar un doble calificador en caso de requerirlo?  ,"  En caso de estar en desacuerdo con una calificación, el estudiante tendrá 3 días hábiles posteriores a la publicación de la nota para presentar una carta a la dirección de área explicando los motivos de la solicitud.  
Si se aprueba la solicitud, el docente asignado para la segunda calificación tendrá tres días hábiles para presentar su concepto, el cual podrá modificar la nota publicada. "
 ¿Cómo solicitar un examen de suficiencia o validación? ,"  Para solicitar un examen de suficiencia o validación se revisará con la dirección de área o la coordinación académica tu promedio académico y se verificará que sea una de las dos últimas materias que te falta por cursar.  
Una vez verificado, el director de área y el decano aprobarán el respectivo examen y deberás cancelar los derechos correspondientes. Posteriormente, tendrás entre uno y cuatro meses para presentar el examen. Para este examen podrás contar con un tutor o docente asignado que te apoyará en el proceso.   "
¿Qué sucede si se me pasa la fecha de inscripción de materias?,"Después de que se pasa su fecha de inscripción, al otro día el sistema le permitirá realizar la inscripción de materias entre las 7:00 pm y las 12:00 am."
¿Cuál es el proceso para incluir créditos adicionales?,"Debe inscribir todas las materias correspondientes a su semestre, luego inscribir los créditos adicionales, después reliquidar y en ese momento el sistema genera el recibo para pagar los adicionales."
¿Puedo ver materias de un crédito?,"Depende de la oferta del programa, debe revisar previamente la malla de su programa."
¿Me homologan materias de matemáticas si voy a hacer un doble programa?,"Si, debe solicitarse previamente autorización ante la dirección del programa para que se evalué la pertinencia de la solicitud."
¿Puedo tomar electivas de otro programa?,"Si, después de verificar la oferta de electivas de otro programa, la dirección del programa debe autorizarlo por el sistema sap."
¿Puedo ver materias de manera virtual?,"Según la oferta del programa para cada semestre, usualmente en matemáticas esto no sucede."
¿Cómo se que electivas maneja el programa?,"Antes de iniciar las matrículas, la dirección y coordinación académica enviarán la oferta del programa mediante correos electrónicos a todos los estudiantes. Si el estudiante no recibió dicha información, debe acercarse a la escuela para realizar la respectiva consulta."
¿Cómo puedo pedir tutorías?,"A través del aplicativo de tutorías disponible en la página de la Universidad se debe realizar la inscripción a tutoría, también es posible realizar la inscripción en bienestar universitario."
"¿Si no pude venir el día del parcial, que debo hacer?","Solicitar a la escuela un examen supletorio o diferido. La dirección deberá aprobar la solicitud y decidir el tipo de examen a realizar, de acuerdo con la excusa presentada."
¿Cómo tramito las excusas o incapacidades?,"En el servicio médico se deben tramitar las incapacidades médicas. Cuando las excusas no son médicas, estas se deben tramitar ante la dirección del programa."
¿Qué es un supletorio?,Es un examen extemporaneo que se realiza cuando se presenta alguna situación fortuita
¿ A dónde debo dirigirme si necesito un supletorio?,Deben enviar la solicitud al correo ecei@usa.edu.co o con las asitentes del programa
¿Qué precio tiene un supletorio?,$206.940 para el año 2025
¿Dónde puedo reclamar la plantilla para las horas de servicio?,En Bienestar Universitario 
¿Cuántas horas de servicio debo realizar?,"Usualmente son 32 horas, pero puede variar segun Beca optenida. Por lo cual debes validar la información con Bienestar Universitario."
¿Cuál es el plazo tengo que para entregar la plantilla de horas sociales?,Se entrega al terminar las clases y culminar el periodo académico 
¿Dónde puedo hacer horas de servicio?,En cualquier dependencia de la Universidad
¿ Qué sucede si realizo más horas de servicio de las requeridas?,Se pueden acumular para el próximo semestre
¿Qué pasa si no alcanzo a completar las horas de servicio?,Tiene riesgo de que se suspenda la beca otorgada
¿Qué pasa si pierdo una materia?,"Debes volver a matricular la asignatura con el fin de obtener una nota superior a 3.0. Esto implica que deberás pagar créditos adicionales en tu próximo semestre académico o, en su lugar, dejar de cursar una de las asignaturas programadas para ese semestre.
Ten en cuenta que, si la asignatura perdida es prerrequisito de otra, no podrás cursar la asignatura correspondiente hasta que la apruebes."
¿Tiene algún costo adicional reprobar una materia?,"Sí, el costo es correspondiente al número de créditos de la asignatura reprobada. "
 ¿Si pierdo una materia pierdo la beca?,"No, siempre y cuando mantengas el promedio exigido en tu beca. "
¿Dónde puedo entregar la plantilla de horas de servicio?,En Bienestar Universitario 
¿Cómo puedo saber si se validaron mis horas de servicio?,El sistema deja matricular asignaturas y la beca sigue su curso normal 
¿Dónde inscribo materias para el próximo semestre?,"Deberás estar pendiente de tu cita de matrícula, la cual será publicada en tu portal SAP una vez la Escuela te comunique activación de las mismas. En dicha citación se indicará el día y la hora en que deberás ingresar a SAP para matricular las asignaturas correspondientes a tu siguiente semestre, según tu plan de estudios.
Si no logras hacerlo en el horario asignado, podrás realizar la matrícula después de las 7:00 p.m., una vez hayan finalizado todas las citaciones."
¿Qué hago si tengo dos materias en el mismo horario?,"El sistema no lo permite; sin embargo, en caso de que llegue a ocurrir, por favor notifica de inmediato a la Dirección para proceder con la inscripción de una nueva asignatura o la corrección del error, según corresponda.
Es importante que informes cualquier situación, ya que omitirlo podría ocasionar la pérdida de alguna de las dos asignaturas."
¿Qué debo hacer si tengo dos parciales al mismo tiempo?,"Las fechas de parciales son definidas en acuerdo con el docente, a menos que se trate de una asignatura departamental. Por ello, es importante que lleves un control de tus evaluaciones. En caso de no poder evitar el cruce de horarios, deberás solicitar examen diferido para una de las asignaturas involucradas."
¿Cómo puedo cambiarme de profesor?,"Se debe realizar la solicitud de cambio de asignatura con otro docente antes de la segunda semana de clases, el cambio se realizará solo si hay disponibilidad de cupos.  "
¿Hasta cuándo puedo cancelar una materia?,Hasta la segunda semana de clases o según indicación de calendario académico.
¿Dónde se realiza el trámite para cancelar una materia?,Deben enviar la solicitud al correo ecei@usa.edu.co o con las asitentes del programa
¿Por qué motivos puedo cancelar una materia?,"Si realizas la cancelación dentro de las fechas establecidas no importará el motivo de cancelación, pero si por el contrario se realiza la solicitud luego de las mismas se debera esclar la solicitud al comité académico, quien solo tendra encuenta la solciitud si corresponde a un caso de fuerza mayor. "
¿Tiene algún costo o penalización al cancelar una materia?,"Sí, el costo es correspondiente al número de créditos de la asignatura retirada. "
¿Qué es una tutoría?,"Es una asesoria personalizada bridada por un profesor para solucionar dudas, es importante tener en cuenta que no es una clase imparida. "
¿Dónde puedo solicitar una tutoría?,"A través de la página web de la Universidad, ingresa a la sección Comunidad, luego selecciona Estudiantes y haz clic en Tutorías."
¿Cuántas tutorías puedo pedir al semestre?,"Las que necesite el estudiante, no tiene un número limite determinado"
¿Con cuanto tiempo de anticipación debo solicitar una tutoría?,24 horas
¿Qué es una monitoría?,Es una asesoria personalizada bridada por un estudiante seleccionado con antelación para brindar este servicio
¿Dónde puedo pedir una monitoría?,"Con coordinación de monitores, area administrativa de la ECEI."
¿Cuántas monitorías puedo solicitar al semestre?,Las que el estudiante requiera
¿Las monitorias tienen algún costo?,No
¿Las tutorías tiene algún costo?,No
¿Con cuánto tiempo de anticipación debo pedir una monitoria?,24 horas de antelación 
¿Qué diferencia hay entre una tutoría y una monitoria?,"Una tutoria es brindada por un docente, una monitoria la brinda un estudiante que aplica previamente para ejercer tal rol "
¿Dónde puedo solicitar un certificado de estudio?,Se puede generar por SAP y lo emite Secretaria General 
¿Cuánto tiempo se demora un certificado de estudio?,Tres dias hábiles
¿Cuál es el costo de un certificado de estudio?,$14.080
¿Dónde puedo reclamar un certificado de estudio?,"El certificado de estudios es solicitado por el estudiante a través del portal SAP. Una vez solicitado, el certificado será enviado al correo institucional del estudiante en un plazo de cinco días hábiles."
¿Cuándo están disponibles los recibos de pago?,Desde la Escuela se emitira comunicado de disponibilidad de recibos de pago para el siguiente semestre académico. 
¿Dónde puedo descargar los recibos de pago?,Se puede descargar en la pagina principal de la universidad ( pagos en lines)
¿Cuáles son los medios de pago disponibles para el semestre?,"Pago virtual en la página de la Universidad PAGOS EN LÍNEA. (Opción financiación)   
Entidad bancaria que aparece en el recibo en efectivo.   
En ventanilla de caja de la Universidad (tarjetas o cheque de cesantías).   "
¿Cómo me puedo cambiar de carrera?,"Deberas notificar inicialmente a la dirección de tu programa la intención de cambio de programa, luego acercarte a admisiones para iniciar tu proceso con el nuevo programa, esto implica entrevista, estudio de homologación al nuevo programa y generación de recibo en caso de ser aprobado el cambio. "
¿Puedo homologar materias al cambiarme de carrera?,Si
¿Dónde se realiza la homologación de materias?,Deben enviar la solicitud al correo ecei@usa.edu.co o con las asitentes del programa si corresponden a programas de la Escuela
¿Tiene algún costo la homologación de materias?,$710.370
¿Quién es el director o directora de la carrera Ingenieria Industrial?,Diany Puccini
¿Quién es el director o directora de la carrera Ingenieria Ambiental?,Maria Clara Sanchez
¿Quién es el director o directora de la carrera Ingenieria Electronica?,Camilo Salazar
¿Quién es el director o directora de la carrera Matemáticas?,Marta Corrales
¿Quién es el director o directora de la carrera Ciencias de la computacion e inteligencia artificial?,Camilo Salazar
¿Quién es el Decano o decana de la escuela?,Luis Alejandro Angel Acosta
¿Dónde puedo encontrar el director o directora de la carrera Ingenieria Industrial?,En el segundo piso del bloque B por las escaleras internas
¿Dónde puedo encontrar el director o directora de la carrera Ingenieria Ambiental?,En el segundo piso del bloque B por las escaleras internas
¿Dónde puedo encontrar el director o directora de la carrera Ingenieria Electronica?,En el segundo piso del bloque B por las escaleras internas
¿Dónde puedo encontrar el director o directora de la carrera Matematicas?,En el segundo piso del bloque B por las escaleras internas
¿Dónde puedo encontrar el director o directora de la carrera Ciencias de la computacion e inteligencia artificial?,En el segundo piso del bloque B por las escaleras internas
¿Cuál es el correo electrónico del director o directora de la carrera Ingenieria Industrial?,diany.puccini@usa.edu.co
¿Cuál es el correo electrónico del director o directora de la carrera Ingenieria Electronica?,camilo.salazar@usa.edu.co
¿Cuál es el correo electrónico del director o directora de la carrera matematicas?,martha.corrales@usa.edu.co
¿Cuál es el correo electrónico del director o directora de la carrera Ciencias de la computacion e inteligecia artificial?,camilo.salazar@usa.edu.co
¿Puedo hacer doble titulación?,"Claro, esto te ayudará a contar con un mejor perfil profesional y aumentará tus habilidades para el campo laboral. Si quieres mas información del proceso por favor enviar la solicitud a la dirección para contar con un estudio de homolgación que te indique las asignaturas adicionales que deberas cursar, recuerda que los creditos de doble titulación tienen un descuento del 50%, solo si te encuentras activo en ambos programas. "
¿Cómo puedo hacer una doble titulación? ,Por favor enviar la solicitud a la dirección para contar con un estudio de homolgación que te indique las asignaturas adicionales que deberas cursar.
¿Cómo sé qué materias debo ver este semestre?,Las materias que deberas cursar corresponden a las reflejadas en tu plan de estudios segun semestre académico.
¿Existe un mínimo de créditos que deba cursar por semestre?,"Existen tres tipos de matrícula académica: Por créditos correspondiente a un máximo de  4 créditos, media matrícula correspondiente a un máximo de  8 créditos y matrícula completa de 9 créditos en adelante. "
¿Dónde puedo solicitar el duplicado de mi carnet?,"Con el Departamento de Seguridad, recuerda que esto tiene un costo. "
¿Qué precio tiene el duplicado del carnet?,$28.290
¿Cuánto tiempo tarda el duplicado del carnet?,Por lo general te lo entregan en el mismo momento o deberas esperar tres días habiles.
¿Qué pasa si soy becado y no logro mantener el promedio requerido?,"Lamenteblemente perderas el veceficio, puesto que estas incumpliendo con uno de los requisitos exigidos para matener la misma. "
¿Cuál es la nota mínima para aprobar una materia?,"3,0"
¿Puedo realizar un cambio de horario?,"Si, siempre y cuando la solicitud se realice dentro de las fechas establecidad por calendario académico y cuente con cupos la asignatura"
¿Dónde puedo gestionar el cambio de horario?,Deben enviar la solicitud al correo ecei@usa.edu.co 
¿Dónde puedo solicitar el aplazamiento el semestre?,Deben enviar la solicitud al correo ecei@usa.edu.co 
