;Pregunta;respuesta;
145;;2. Haber cancelado los derechos de grado y encontrarse a paz y salvo por todo concepto con la Universidad y, en particular, con el Departamento de Cartera y la Biblioteca de la Institución.;posgrados
146;;3. Acreditar los demás documentos académicos y administrativos que señalen las normas legales y reglamentarias de la Universidad.;posgrados
147;¿Cuál es el plazo máximo para obtener el título de Especialista en la Universidad Sergio Arboleda?;El plazo máximo para obtener el título de Especialista es de tres (3) años, contados a partir de la fecha de la matrícula inicial en el respectivo Programa.;posgrados
148;¿Cuál es el plazo máximo para obtener el título de Maestría en la Universidad Sergio Arboleda?;El plazo máximo para obtener el título de Maestría es de cinco (5) años, contados a partir de la fecha de la matrícula inicial en el respectivo Programa.;posgrados
149;¿Cuál es el plazo máximo para obtener el título de Doctorado en la Universidad Sergio Arboleda?;El plazo máximo para obtener el título de Doctorado es de siete (7) años, contados a partir de la fecha de la matrícula inicial en el respectivo Programa.;posgrados
150;¿Puede la Universidad exigir requisitos adicionales para obtener el título después del plazo máximo establecido?;Sí, la Universidad se reserva el derecho de exigir requisitos de actualización al interesado si el plazo máximo para obtener el título ha sido excedido.;posgrados
151;¿Qué programas de posgrado ofrece la Universidad Sergio Arboleda?;La Universidad ofrece especializaciones, maestrías y doctorados en diversas áreas como derecho, negocios, ingeniería, comunicación, entre otras.;posgrados
152;¿Cuáles son los requisitos de admisión?;Depende del programa, pero generalmente incluyen hoja de vida, título profesional, entrevista y pruebas de admisión.;posgrados
153;¿Cómo es el proceso de inscripción y cuáles son las fechas clave?;Debes diligenciar el formulario en línea, subir documentos y estar atento al calendario académico publicado en la página web institucional.;posgrados
154;¿Qué modalidades tiene el programa que me interesa?;Algunos programas se ofrecen en modalidad presencial, virtual o híbrida. Puedes verificarlo en la descripción del programa.;posgrados
155;¿A quién puedo acudir si tengo dudas sobre mi plan de estudios?;Puedes comunicarte con el director del programa o con la coordinación académica de posgrados.;posgrados
156;¿Qué recursos académicos tengo disponibles?;Tienes acceso a biblioteca, bases de datos, plataformas virtuales y tutorías académicas.;posgrados
157;¿Qué servicios ofrece la Universidad para egresados?;La Universidad ofrece educación continua, eventos, diplomados y acceso a la bolsa de empleo.;posgrados
158;¿Dónde puedo actualizar mis datos?;Puedes actualizar tus datos en el portal de egresados o contactando a la oficina de egresados.;posgrados
159;¿Cómo consulto mis calificaciones y avances académicos?;Puedes ingresar al portal académico con tu usuario institucional para revisar tus calificaciones y el historial académico.;posgrados
160;¿Dónde puedo ver el horario de mis clases?;El horario está disponible en el portal académico o puedes solicitarlo a tu coordinación de programa.;posgrados
161;¿Qué hago si tengo un problema con un docente o una clase?;Puedes comunicarte con la coordinación de posgrados o el director del programa para plantear tu inquietud y recibir orientación.;posgrados
162;¿Cómo solicito aplazamiento de semestre o cancelación de asignatura?;Debes presentar la solicitud formal a la coordinacion del programa , cumpliendo con los plazos establecidos.;posgrados
163;¿Hay apoyo psicológico o consejería académica disponible?;Sí, la Universidad ofrece servicios de bienestar universitario que incluyen apoyo psicológico y acompañamiento académico.;posgrados
164;¿Qué pasa si no puedo asistir a una clase?;Te recomendamos notificar al docente yla coordinacion del programa, no puedes superar el 25% del total de fallas durante una materia.;posgrados
165;¿Qué requisitos debo cumplir para graduarme?;Debes aprobar todas las asignaturas del plan de estudios, cumplir con el trabajo de grado y estar a paz y salvo académica y financieramente;posgrados
166;Cómo hago seguimiento a mi trabajo de grado o tesis?;Debes mantener comunicación constante con tu tutor o director de trabajo, y seguir los cronogramas definidos por tu programa.;posgrados
167;¿Como postularme a grados?;"UNIVERSIDAD SERGIO ARBOLEDA
Escuela de Ciencias Exactas e Ingeniería

PROCESO PARA MARCACIÓN COMO FUTURO EGRESADO Y POSTULACIÓN A GRADO

Fase 1: Marcación como futuro egresado
Una vez culmines la totalidad de tu plan de estudios, incluyendo práctica profesional y opción de grado, deberás postularte a la Fase 1 del proceso, con el fin de obtener tu marcación como futuro egresado. Esta fase siempre estará activa, lo que quiere decir que puedes postularte en cualquier momento [aquí].

Fase 2: Postulación a grados
Recibirás un correo de la Escuela con el link de postulación a grados, el cual podrás diligenciar solo si ya cuentas con la confirmación de marcación como futuro egresado, de lo contrario será rechazada tu postulación.

*Esta fase sí cuenta con restricción de fecha, según calendario académico.";
